time,precipitation_mm,soil_moisture_m3_m3,temperature_2m_c,year,month,stress_threshold,current_stress,target_stress_next_month,soil_moisture_next_month
2018-01-01,238.79736,0.4185793010752688,13.21518817204301,2018,1,0.4185793010752688,0,1,0.4186354166666666
2018-02-01,164.54486,0.4186354166666666,15.62782738095238,2018,2,0.4251592261904762,1,1,0.3237163978494624
2018-03-01,33.98272,0.3237163978494624,18.486962365591395,2018,3,0.3778172043010753,1,0,0.3058805555555555
2018-04-01,46.81448,0.3058805555555555,20.66847222222222,2018,4,0.3016583333333333,0,0,0.2874059139784946
2018-05-01,22.412483,0.2874059139784946,25.366397849462363,2018,5,0.224744623655914,0,0,0.2269111111111111
2018-06-01,0.06310769,0.2269111111111111,26.694166666666664,2018,6,0.1997597222222222,0,0,0.2071787634408602
2018-07-01,0.09341736,0.2071787634408602,28.729973118279567,2018,7,0.1965806451612903,0,0,0.207880376344086
2018-08-01,0.094270244,0.207880376344086,28.728897849462363,2018,8,0.2067822580645161,0,1,0.2072291666666666
2018-09-01,2.8055637,0.2072291666666666,27.98611111111111,2018,9,0.2130458333333333,1,1,0.2320013440860215
2018-10-01,28.72357,0.2320013440860215,24.866801075268818,2018,10,0.2360981182795699,1,0,0.3197291666666667
2018-11-01,76.72295,0.3197291666666667,18.81805555555556,2018,11,0.2994805555555556,0,0,0.4068965053763441
2018-12-01,129.56943,0.4068965053763441,14.688306451612904,2018,12,0.3740779569892473,0,0,0.4289663978494624
2019-01-01,145.52927,0.4289663978494624,12.55470430107527,2019,1,0.4185793010752688,0,0,0.4251592261904762
2019-02-01,131.72145,0.4251592261904762,13.391071428571427,2019,2,0.4251592261904762,0,0,0.4289354838709677
2019-03-01,120.902405,0.4289354838709677,14.979704301075268,2019,3,0.3778172043010753,0,0,0.3848097222222222
2019-04-01,30.37811,0.3848097222222222,18.23986111111111,2019,4,0.3016583333333333,0,0,0.2538225806451613
2019-05-01,9.840285,0.2538225806451613,25.33104838709677,2019,5,0.224744623655914,0,0,0.2237236111111111
2019-06-01,0.91968644,0.2237236111111111,27.66430555555556,2019,6,0.1997597222222222,0,1,0.1891572580645161
2019-07-01,0.09331366,0.1891572580645161,28.600134408602152,2019,7,0.1965806451612903,1,1,0.1942620967741935
2019-08-01,0.094176315,0.1942620967741935,28.888306451612905,2019,8,0.2067822580645161,1,0,0.2130458333333333
2019-09-01,0.6551692,0.2130458333333333,27.264722222222225,2019,9,0.2130458333333333,0,0,0.2360981182795699
2019-10-01,12.751138,0.2360981182795699,25.4989247311828,2019,10,0.2360981182795699,0,1,0.2468888888888888
2019-11-01,27.80585,0.2468888888888888,20.57027777777778,2019,11,0.2994805555555556,1,0,0.3740779569892473
2019-12-01,196.79759,0.3740779569892473,14.54274193548387,2019,12,0.3740779569892473,0,0,0.4730483870967741
2020-01-01,243.27695,0.4730483870967741,11.978763440860217,2020,1,0.4185793010752688,0,0,0.4565287356321839
2020-02-01,65.34423,0.4565287356321839,13.373275862068963,2020,2,0.4251592261904762,0,0,0.4364771505376343
2020-03-01,70.60673,0.4364771505376343,16.149059139784946,2020,3,0.3778172043010753,0,0,0.3572444444444445
2020-04-01,2.3449667,0.3572444444444445,19.075694444444444,2020,4,0.3016583333333333,0,0,0.2874623655913979
2020-05-01,0.9858701,0.2874623655913979,24.094220430107526,2020,5,0.224744623655914,0,0,0.2415597222222222
2020-06-01,0.006699428,0.2415597222222222,25.40277777777778,2020,6,0.1997597222222222,0,0,0.2284529569892473
2020-07-01,0.09311546,0.2284529569892473,28.25967741935484,2020,7,0.1965806451612903,0,0,0.2361478494623655
2020-08-01,0.09523179,0.2361478494623655,28.81290322580645,2020,8,0.2067822580645161,0,0,0.22615
2020-09-01,0.6568157,0.22615,29.795694444444447,2020,9,0.2130458333333333,0,0,0.2379032258064516
2020-10-01,3.1086252,0.2379032258064516,26.571236559139784,2020,10,0.2360981182795699,0,0,0.3574708333333333
2020-11-01,102.04653,0.3574708333333333,19.30638888888889,2020,11,0.2994805555555556,0,0,0.3870887096774193
2020-12-01,93.32626,0.3870887096774193,15.298790322580643,2020,12,0.3740779569892473,0,1,0.3825793010752688
2021-01-01,130.50867,0.3825793010752688,13.640994623655914,2021,1,0.4185793010752688,1,0,0.4389122023809524
2021-02-01,97.705215,0.4389122023809524,14.355654761904765,2021,2,0.4251592261904762,0,0,0.3778172043010753
2021-03-01,45.514824,0.3778172043010753,16.01518817204301,2021,3,0.3778172043010753,0,1,0.2873125
2021-04-01,1.8693376,0.2873125,20.55236111111111,2021,4,0.3016583333333333,1,1,0.2037137096774193
2021-05-01,4.729725,0.2037137096774193,25.08037634408602,2021,5,0.224744623655914,1,1,0.1906277777777777
2021-06-01,0.006699425,0.1906277777777777,25.855,2021,6,0.1997597222222222,1,0,0.1965806451612903
2021-07-01,0.09331364,0.1965806451612903,29.198521505376345,2021,7,0.1965806451612903,0,0,0.2067822580645161
2021-08-01,0.094176434,0.2067822580645161,30.149596774193547,2021,8,0.2067822580645161,0,0,0.2205611111111111
2021-09-01,0.64988846,0.2205611111111111,27.281944444444445,2021,9,0.2130458333333333,0,0,0.2532849462365591
2021-10-01,20.785566,0.2532849462365591,24.573252688172044,2021,10,0.2360981182795699,0,0,0.2994805555555556
2021-11-01,42.496483,0.2994805555555556,20.50361111111112,2021,11,0.2994805555555556,0,0,0.4094247311827957
2021-12-01,174.31316,0.4094247311827957,14.50994623655914,2021,12,0.3740779569892473,0,0,0.4434220430107527
2022-01-01,127.17829,0.4434220430107527,11.68736559139785,2022,1,0.4185793010752688,0,0,0.4558779761904762
2022-02-01,74.06739,0.4558779761904762,13.252083333333331,2022,2,0.4251592261904762,0,0,0.4418588709677419
2022-03-01,87.04067,0.4418588709677419,13.223521505376343,2022,3,0.3778172043010753,0,0,0.3016583333333333
2022-04-01,9.628617,0.3016583333333333,21.11208333333333,2022,4,0.3016583333333333,0,0,0.224744623655914
2022-05-01,0.8543099,0.224744623655914,23.804435483870968,2022,5,0.224744623655914,0,0,0.1997597222222222
2022-06-01,0.006699427,0.1997597222222222,26.55027777777778,2022,6,0.1997597222222222,0,0,0.2118346774193548
2022-07-01,0.093413815,0.2118346774193548,28.115591397849464,2022,7,0.1965806451612903,0,0,0.224263440860215
2022-08-01,0.094266444,0.224263440860215,29.04959677419355,2022,8,0.2067822580645161,0,0,0.2366194444444444
2022-09-01,0.6615849,0.2366194444444444,27.78125,2022,9,0.2130458333333333,0,0,0.2465497311827957
2022-10-01,3.7502258,0.2465497311827957,25.18911290322581,2022,10,0.2360981182795699,0,0,0.3379055555555555
2022-11-01,73.3102,0.3379055555555555,19.706805555555555,2022,11,0.2994805555555556,0,1,0.3672903225806452
2022-12-01,53.86709,0.3672903225806452,15.976075268817205,2022,12,0.3740779569892473,1,1,0.3694422043010752
2023-01-01,106.17727,0.3694422043010752,14.289516129032258,2023,1,0.4185793010752688,1,1,0.4106830357142857
2023-02-01,72.37371,0.4106830357142857,12.814732142857142,2023,2,0.4251592261904762,1,1,0.3676263440860215
2023-03-01,74.51759,0.3676263440860215,16.804166666666667,2023,3,0.3778172043010753,1,0,0.3262847222222222
2023-04-01,62.904488,0.3262847222222222,19.668055555555554,2023,4,0.3016583333333333,0,0,0.2563548387096774
2023-05-01,8.280695,0.2563548387096774,23.713306451612905,2023,5,0.224744623655914,0,0,0.2153930555555555
2023-06-01,3.611132,0.2153930555555555,26.29513888888889,2023,6,0.1997597222222222,0,0,0.2053870967741935
2023-07-01,0.09341387,0.2053870967741935,29.485887096774192,2023,7,0.1965806451612903,0,0,0.2130309139784946
2023-08-01,0.09426639,0.2130309139784946,29.150806451612905,2023,8,0.2067822580645161,0,0,0.2529888888888889
2023-09-01,0.6615474,0.2529888888888889,28.400972222222222,2023,9,0.2130458333333333,0,0,0.2826774193548387
2023-10-01,13.412269,0.2826774193548387,25.65967741935484,2023,10,0.2360981182795699,0,0,0.3413888888888889
2023-11-01,137.03316,0.3413888888888889,21.20458333333333,2023,11,0.2994805555555556,0,0,0.423364247311828
2023-12-01,114.128624,0.423364247311828,16.339112903225807,2023,12,0.3740779569892473,0,0,0.4610322580645161
2024-01-01,113.441605,0.4610322580645161,14.511559139784946,2024,1,0.4185793010752688,0,0,0.4742830459770115
2024-02-01,133.87961,0.4742830459770115,14.072844827586207,2024,2,0.4251592261904762,0,0,0.4085631720430107
2024-03-01,41.545223,0.4085631720430107,17.030779569892474,2024,3,0.3778172043010753,0,0,0.3326180555555555
2024-04-01,18.430935,0.3326180555555555,21.976666666666667,2024,4,0.3016583333333333,0,0,0.2694341397849462
2024-05-01,3.6035588,0.2694341397849462,23.59032258064516,2024,5,0.224744623655914,0,0,0.2469333333333333
2024-06-01,0.0066994294,0.2469333333333333,29.445416666666667,2024,6,0.1997597222222222,0,0,0.2480295698924731
2024-07-01,0.093413875,0.2480295698924731,30.29193548387097,2024,7,0.1965806451612903,0,0,0.2499919354838709
2024-08-01,0.09426637,0.2499919354838709,29.45577956989247,2024,8,0.2067822580645161,0,0,0.2304972222222222
2024-09-01,0.8761387,0.2304972222222222,27.87722222222222,2024,9,0.2130458333333333,0,1,0.1923319892473118
2024-10-01,2.5151632,0.1923319892473118,24.014247311827955,2024,10,0.2360981182795699,1,0,0.2998625
2024-11-01,28.309391,0.2998625,19.23097222222222,2024,11,0.2994805555555556,0,1,0.2924811827956989
